cluster_id,num_models,total_fact_count,avg_fact_count,std_fact_count,total_sample_count,avg_sample_count,std_sample_count,avg_percentage_of_samples,std_percentage_of_samples,avg_attention_score,std_attention_score,min_attention_score,max_attention_score,attention_cv,avg_sentiment,std_sentiment,min_sentiment,max_sentiment,sentiment_cv,most_common_event_types
38,32,1054,32.94,15.42,216,6.75,1.98,3.5526,1.0441,0.129724,0.093502,0.059716,0.399124,0.7208,0.421949,0.126935,0.18,0.9,0.3008,market_outlook; investment_outlook; bearish_outlook; economic_outlook; economic_forecast
2,32,8694,271.69,161.35,272,8.5,3.42,4.4737,1.7985,0.124762,0.17647,0.016946,0.758604,1.4144,0.418148,0.142424,0.311143,0.693333,0.3406,partnership; partnership_and_marketing_initiative
10,32,6969,217.78,178.73,426,13.31,3.07,7.0066,1.6177,0.124377,0.150639,0.017915,0.505775,1.2112,0.072662,0.310662,-0.169677,0.672727,4.2754,analyst_comment; analyst_insight; analyst_expectations; analyst_recommendation; analyst_target_price
24,30,87,2.9,1.16,72,2.4,0.81,1.2632,0.4283,0.118467,0.033639,0.066955,0.214165,0.2839,0.193333,0.394954,-0.7,0.8,2.0429,inflation_slowdown; interest_rate_impact; interest_rate_sensitive_benefits; interest_rate_outlook; interest_rate_hike
28,22,35,1.59,0.91,28,1.27,0.55,0.6699,0.2897,0.109858,0.050966,0.064942,0.296583,0.4639,0.017046,0.596121,-0.5,0.8,34.9723,ratings_action; stock_rating; analyst_rating
0,28,71,2.54,1.73,64,2.29,1.38,1.203,0.7284,0.10603,0.051526,0.061434,0.212354,0.486,0.397577,0.451567,-0.5,0.9,1.1358,growth_challenges; industry_growth; product_growth; market_growth; growth_outlook
31,31,100,3.23,1.15,76,2.45,0.81,1.2903,0.4263,0.105463,0.020987,0.06455,0.167586,0.199,0.195645,0.329248,-0.7,0.8,1.6829,sell_signal; pre_market_trading; unusual_trading_volume; insider_buying
5,25,50,2.0,0.0,50,2.0,0.0,1.0526,0.0,0.0984,0.005987,0.087105,0.111231,0.0608,0.2,0.0,0.2,0.2,0.0,supply_chain_issue
58,28,56,2.0,0.77,39,1.39,0.5,0.7331,0.2618,0.097186,0.05902,0.062991,0.248983,0.6073,0.736905,0.220939,0.2,0.9,0.2998,sales_report; fee_income_report; economic_data_release
33,32,113,3.53,1.29,113,3.53,1.29,1.8586,0.6815,0.092563,0.020121,0.060691,0.122587,0.2174,0.646511,0.049567,0.55,0.73,0.0767,sector_rotation; technical_breakout; divergence_phenomenon; stress_test_results; technical_indicators
59,32,11407,356.47,138.65,327,10.22,3.21,5.3783,1.6896,0.089646,0.17803,0.01226,0.684422,1.9859,-0.130085,0.199134,-0.237277,0.52,1.5308,etf_inflow; etf_holdings; etf_inclusion; etf_launch; etf_analysis
55,32,1637,51.16,14.43,262,8.19,2.61,4.3092,1.3727,0.082411,0.023754,0.047065,0.136812,0.2882,0.153133,0.072273,0.040323,0.297727,0.472,regulatory_change; regulatory_approval; regulatory_challenge; regulatory_comparison; regulatory_action
23,32,91,2.84,1.11,90,2.81,1.06,1.4803,0.5582,0.079281,0.011713,0.060402,0.127972,0.1477,0.383177,0.264027,-0.05,0.833333,0.689,business_update; business_failure; market_opportunity; business_preparedness; customer_base
19,32,92,2.88,0.83,90,2.81,0.69,1.4803,0.3646,0.076134,0.028388,0.058255,0.18389,0.3729,0.791198,0.035038,0.68,0.833333,0.0443,stock_recovery; recovery_progress; recovery; market_rebound; market_recovery
56,15,15,1.0,0.0,15,1.0,0.0,0.5263,0.0,0.074285,0.006844,0.068061,0.091492,0.0921,0.8,0.0,0.8,0.8,0.0,bank_performance
30,32,138,4.31,0.64,74,2.31,0.64,1.2171,0.3392,0.073628,0.00162,0.071256,0.078958,0.022,0.795833,0.01352,0.78,0.833333,0.017,vaccine_development; vaccine_speculation; vaccine_trial_results; pandemic_growth
14,28,101,3.61,0.74,45,1.61,0.74,0.8459,0.3881,0.073513,0.00948,0.062325,0.090026,0.129,0.578214,0.04738,0.5,0.65,0.0819,merger; merger_approval; merger_completion; potential_buyout; takeover_proposal
21,32,32,1.0,0.0,32,1.0,0.0,0.5263,0.0,0.06604,0.003822,0.056233,0.072868,0.0579,0.9,0.0,0.9,0.9,0.0,operations_resumption
57,32,99,3.09,0.3,35,1.09,0.3,0.5757,0.1559,0.065912,0.003723,0.056021,0.07249,0.0565,0.830208,0.014779,0.75,0.833333,0.0178,business_restart; business_restart_plan; business_resumption; turnaround_effort; spin_off_preparations
32,32,6968,217.75,7.59,410,12.81,3.03,6.7434,1.5955,0.038284,0.008859,0.014942,0.048483,0.2314,-0.359745,0.035935,-0.4515,-0.317257,0.0999,stock_performance; growth_stock_analysis; financial_analysis; stock_price_increase; stock_opportunity
4,32,21927,685.22,596.1,256,8.0,2.79,4.2105,1.4705,0.030887,0.041333,0.005319,0.237537,1.3382,0.631269,0.121316,0.446855,0.775207,0.1922,investment; institutional_investment; investment_advice; investment_and_outlook; investment_analysis
50,32,2272,71.0,1.02,128,4.0,1.02,2.1053,0.5347,0.027015,0.001337,0.024433,0.028457,0.0495,0.515077,0.004712,0.504348,0.523288,0.0091,conference_participation; diversity_initiative; award_recognition; social_responsibility_recognition; award_or_recognition
48,32,7958,248.69,63.01,150,4.69,0.59,2.4671,0.3117,0.02375,0.007655,0.019975,0.041601,0.3223,0.540588,0.019457,0.532014,0.585577,0.036,ipo_announcement; ipo_funding; ipo_investment; ipo_preparation; ipo_underwriting
9,32,4253,132.91,3.5,296,9.25,2.74,4.8684,1.4398,0.022435,0.004596,0.012203,0.02759,0.2049,-0.715711,0.027278,-0.779032,-0.660145,0.0381,earnings_forecast; earnings_disappointment; earnings_estimate_revisions; earnings_expectation; earnings_forecast_revision
52,10,2930,293.0,0.0,10,1.0,0.0,0.5263,0.0,0.003917,7.3e-05,0.003824,0.004057,0.0185,0.598294,0.0,0.598294,0.598294,0.0,security_flaw_opportunity; security_patch
39,32,22778,711.81,0.69,58,1.81,0.69,0.9539,0.3646,0.001644,0.000485,0.001406,0.002995,0.2951,0.100491,0.0004,0.1,0.101681,0.004,price_target; target_price_increase; price_target_raise
