cluster_id,num_models,total_fact_count,avg_fact_count,std_fact_count,total_sample_count,avg_sample_count,std_sample_count,avg_percentage_of_samples,std_percentage_of_samples,avg_attention_score,std_attention_score,min_attention_score,max_attention_score,attention_cv,avg_sentiment,std_sentiment,min_sentiment,max_sentiment,sentiment_cv,most_common_event_types
18,32,551,17.22,4.62,399,12.47,0.8,6.5625,0.4224,0.118177,0.013833,0.045461,0.129988,0.1171,0.445086,0.031661,0.394118,0.488889,0.0711,cloud_competition; cloud_computing_strategy; cryptocurrency_adoption; big_data_focus; cryptocurrency_backing
33,32,4881,152.53,2.14,1333,41.66,1.52,21.9243,0.7977,0.115316,0.001015,0.1131,0.117855,0.0088,0.532241,0.004777,0.523,0.54172,0.009,added_position; added_positions; blue_chip_classification; breakout; cloud_transition
16,32,2924,91.38,0.94,588,18.38,0.94,9.6711,0.4957,0.111761,0.002523,0.107696,0.114883,0.0226,0.433863,0.004282,0.426667,0.443011,0.0099,capital_increase_approval; capital_plan_approval; capital_raise_consideration; cash_reserve; capital_plan_announcement
47,32,3417,106.78,3.41,1248,39.0,2.74,20.5263,1.4398,0.109734,0.001255,0.106725,0.111968,0.0114,0.267747,0.010436,0.242574,0.29386,0.039,executive_expectations_and_valuation; market_valuation; stock_valuation; undervaluation; undervaluation_analysis
1,32,17581,549.41,29.83,2887,90.22,1.54,47.4836,0.8102,0.10074,0.00509,0.087303,0.105405,0.0505,0.341853,0.009214,0.316401,0.350864,0.027,comparable_analysis; comparative_analysis; comparison; competitive_benchmarking; competitive_comparison
42,32,3332,104.12,8.08,1123,35.09,1.09,18.4704,0.5728,0.100594,0.006976,0.086586,0.106102,0.0694,-0.120532,0.046127,-0.169072,-0.028926,0.3827,investment_and_partnership; partnership_acquisition; partnership_and_certifications; partnership_and_competition; partnership_and_expansion
24,32,3078,96.19,2.16,726,22.69,1.31,11.9408,0.6874,0.09864,0.000892,0.097355,0.100788,0.009,0.136729,0.014655,0.10102,0.160204,0.1072,currency_headwinds; economic_commentary; federal_reserve_announcement; federal_reserve_intervention; economic_policy_impact
46,32,2102,65.69,1.79,615,19.22,1.56,10.1151,0.8212,0.09134,0.00089,0.089712,0.093645,0.0097,0.605227,0.011028,0.587097,0.625,0.0182,profit_margin_increase; profitability_outlook; reduced_profit_forecast; revenue_forecast; revenue_estimate
51,32,21742,679.44,5.93,2795,87.34,0.9,45.9704,0.4747,0.086895,0.000495,0.08597,0.087803,0.0057,-0.279616,0.004499,-0.28713,-0.269679,0.0161,competition; competition_analysis; competition_and_privacy_changes; competition_intensification; competition_expansion
6,32,17815,556.72,13.56,2181,68.16,0.92,35.8717,0.484,0.080417,0.001898,0.076808,0.083935,0.0236,0.387681,0.005857,0.375912,0.398288,0.0151,business_update_and_dividend_growth; dividend_adjustment; dividend_announcement; dividend_announcement_and_share_repurchase; dividend_analysis
9,32,9342,291.94,6.1,2816,88.0,2.05,46.3158,1.0778,0.073913,0.000276,0.073183,0.074417,0.0037,-0.012739,0.014961,-0.035614,0.030259,1.1744,earnings_analysis; earnings_and_demand_update; earnings_and_financials; earnings_and_rating_upgrade; acquisitions_and_earnings_growth
59,32,51388,1605.88,2.97,3003,93.84,0.88,49.3914,0.4652,0.066181,0.00024,0.0658,0.066713,0.0036,-0.006326,0.001128,-0.008463,-0.003937,0.1783,etf_analysis; etf_comparison; etf_composition; etf_description; etf_focus
2,32,50780,1586.88,25.47,3905,122.03,1.66,64.227,0.8714,0.066121,0.001009,0.064466,0.068351,0.0153,0.584726,0.005066,0.574727,0.59295,0.0087,blockchain_partnership; industry_partnership; investment_partnership; collaboration; partnership
58,32,1191,37.22,10.75,375,11.72,1.02,6.1678,0.5386,0.063937,0.01203,0.038122,0.07262,0.1881,0.436669,0.031586,0.393103,0.575472,0.0723,catastrophe_loss_report; economic_data_release; industry_loss_report; market_share_report; customer_satisfaction_report
40,32,9719,303.72,2.11,1284,40.12,1.21,21.1184,0.6376,0.057003,0.000714,0.055925,0.058378,0.0125,-0.241067,0.006261,-0.25515,-0.229967,0.026,asset_management_update; asset_under_management_update; assets_under_management_update; brokerage_update; brokerage_upgrade
15,32,16750,523.44,5.27,2284,71.38,1.7,37.5658,0.8943,0.056643,0.000288,0.056073,0.057078,0.0051,0.560815,0.003494,0.554581,0.568668,0.0062,acquisition; acquisition_and_dividend; acquisition_and_partnership; acquisition_and_expansion; acquisition_and_restructuring
17,32,45763,1430.09,52.1,4840,151.25,3.72,79.6053,1.9602,0.055577,0.001032,0.05306,0.058141,0.0186,0.369498,0.010141,0.343261,0.393517,0.0274,acquisition_and_earnings_announcement; earnings_and_sales_report; earnings_announcement; earnings_announcement_and_acquisition; earnings_announcement_and_deal_uncertainty
32,32,27869,870.91,5.65,3378,105.56,2.66,55.5592,1.4017,0.054961,0.000434,0.054033,0.056053,0.0079,0.38627,0.002782,0.380863,0.393694,0.0072,cyclical_stock_analysis; financial_analysis; former_penny_stocks; growth_stock_analysis; growth_stock_evaluation
22,32,8959,279.97,1.67,1062,33.19,1.18,17.4671,0.619,0.052488,0.000493,0.051636,0.053458,0.0094,0.495852,0.002404,0.491398,0.499288,0.0048,ceo_appointment; executive_appointment; executive_background; executive_change; executive_commentary
37,32,13251,414.09,2.35,1709,53.41,1.46,28.1086,0.7663,0.051158,0.000358,0.050501,0.051885,0.007,0.421718,0.001747,0.417918,0.42512,0.0041,congressional_hearing; crisis_management; criticism; election_impact; competitive_jab
10,32,56810,1775.31,13.39,2787,87.09,2.36,45.8388,1.2423,0.046044,0.000342,0.045351,0.046512,0.0074,0.247874,0.002758,0.243857,0.255778,0.0111,analyst_comment; analyst_commentary; analyst_coverage; analyst_downgrade; analyst_coverage_initiation
34,32,81254,2539.19,15.15,3977,124.28,1.25,65.4112,0.6581,0.042146,0.000298,0.041621,0.043171,0.0071,0.235543,0.0033,0.222964,0.238333,0.014,industry_analysis; industry_challenges; industry_concerns; industry_context; industrial_policy
53,32,133512,4172.25,12.94,4923,153.84,1.11,80.9704,0.5844,0.038933,0.00015,0.038661,0.039284,0.0039,0.528599,0.000946,0.526879,0.530588,0.0018,cryptocurrency_market_movement; cryptocurrency_price_movement; market_analysis; market_commentary; cryptocurrency_market_fluctuation
54,32,2848,89.0,0.0,160,5.0,0.0,2.6316,0.0,0.037642,0.000276,0.037109,0.038321,0.0073,0.14382,0.0,0.14382,0.14382,0.0,credit_agreement; credit_card_promotion; credit_card_switch; credit_quality_concerns; credit_rating_change
48,32,10574,330.44,1.68,526,16.44,0.91,8.6513,0.4808,0.03176,0.000246,0.031162,0.032163,0.0077,0.438725,0.000653,0.437576,0.440785,0.0015,initial_public_offering; ipo_announcement; ipo_funding; ipo_impact; ipo_investment
4,32,108031,3375.97,28.83,3256,101.75,1.83,53.5526,0.964,0.026077,0.000269,0.025628,0.026839,0.0103,0.340172,0.001943,0.337437,0.345761,0.0057,activist_investor; alternative_investment; cryptocurrency_investment; esg_investing; competitive_investment
44,32,431,13.47,4.87,340,10.62,0.49,5.5921,0.2589,0.023668,0.003287,0.008597,0.026598,0.1389,0.430066,0.0091,0.425,0.4775,0.0212,high_options_trading_volume; options_contract_availability; options_contract_update; options_trading; options_trading_activity
52,32,14521,453.78,0.94,313,9.78,0.94,5.148,0.4954,0.014189,0.000249,0.013785,0.014927,0.0175,0.394431,0.001546,0.390549,0.395595,0.0039,catastrophe_loss_estimate; data_security_concerns; insurance_claims_improvement; natural_disaster; natural_disaster_impact
50,32,51689,1615.28,1.53,819,25.59,0.98,13.4704,0.5153,0.006225,6.9e-05,0.006103,0.006391,0.0112,0.877941,0.000406,0.877379,0.878425,0.0005,adoption; award_recognition; conference_discussion; conference_participation; award_or_recognition
39,32,23117,722.41,1.16,346,10.81,0.93,5.6908,0.49,0.003686,9.9e-05,0.003466,0.003848,0.0269,0.102244,0.001015,0.1,0.103591,0.0099,labor_cost_increase; price_target; price_target_increase; price_drop; price_movement
